Rk	name	category	team	R1	R2	R3	R4	R5	R6	Total	Avg	Stdev
30=	Karel Brandenbarg		UAlberta BJ	77	79	78	80	78	80	472	78.67	1.11
30=	Serena Yuan		Hart House YY	78	79	78	76	80	81	472	78.67	1.60
32=	Jane Mentzinger		Princeton MJ	79	79	80	77	79	77	471	78.50	1.12
32=	Karina Wugang		Princeton HW	79	81	77	76	79	79	471	78.50	1.61
32=	Mille Caughey	Novice	Duke CM	79	78	76	79	82	77	471	78.50	1.89
32=	Arpi Yang		Hart House YY	77	78	78	77	80	81	471	78.50	1.50
32=	Andy Wang		Harvard LR	77	78	82	78	75	81	471	78.50	2.36
37=	Manuel Machorro	ESL, Novice	Bates HM	80	79	75	79	79	78	470	78.33	1.60
37=	Srishti Ghosh		Princeton GI	80	78	76	77	80	79	470	78.33	1.49
37=	Hannah Zhao		MDU NZ	79	77	76	80	77	81	470	78.33	1.80
37=	Justin Qi		Harvard QR	77	79	80	77	80	77	470	78.33	1.37
37=	Catherine Liu	Novice	Harvard LR	77	77	81	77	76	82	470	78.33	2.29
42=	Mariana Icaza-Diaz	ESL, Novice	Princeton GI	80	78	76	77	80	78	469	78.17	1.46
42=	Dan Ju		Princeton MJ	78	79	79	77	78	78	469	78.17	0.69
42=	Uma Menon		Princeton ML	80	78	78	77	77	79	469	78.17	1.07
42=	Jonas Poggi		GWU PM	78	80	79	78	80	74	469	78.17	2.03
42=	Cayden Monteiro		GWU PM	79	79	77	79	80	75	469	78.17	1.67
47	James Liu	Novice	UWODS LZ	76	80	76	79	79	78	468	78.00	1.53
48=	Benjamin Vigueras	ESL	TEC GV	79	77	77	80	78	76	467	77.83	1.34
48=	Dihan Mashroor Niloy		Hart House EM	78	75	76	79	81	78	467	77.83	1.95
50=	Brian Chiang	Novice	Dartmouth BC	75	77	81	74	79	80	466	77.67	2.56
50=	Gabbi Shilcusky		Northeastern AS	78	79	78	77	76	78	466	77.67	0.94
50=	Belle Ho	Novice	UCLA CH	77	80	78	76	77	78	466	77.67	1.25
50=	Grace Zhu	Novice	UWODS LZ	77	79	75	78	79	78	466	77.67	1.37
54	Ochir Batzorig	ESL, Novice	Dartmouth BC	75	77	80	75	78	80	465	77.50	2.06
55=	Andrew Avalos		Northeastern AS	77	79	78	77	76	77	464	77.33	0.94
55=	Anubhav Agarwal		Princeton AJ	77	76	79	78	78	76	464	77.33	1.11
55=	Adam Ursenbach		UWODS SU	75	78	79	76	80	76	464	77.33	1.80
58=	Amber Chen	Novice	UCLA CH	75	80	77	75	79	77	463	77.17	1.86
58=	Natalia García	ESL	TEC GV	79	77	76	79	77	75	463	77.17	1.46
58=	Daniel Svirsky		UWODS SU	77	79	77	76	79	75	463	77.17	1.46
58=	George Eilender	Novice	Hart House EM	76	74	76	78	81	78	463	77.17	2.19
62=	Redacted	ESL, Novice	—	77	79	78	74	77	77	462	77.00	1.53
62=	Grant Chen	ESL, Novice	UChicago CG	79	77	76	76	79	75	462	77.00	1.53
62=	Livi McElrea		QDU KM	77	75	78	77	77	78	462	77.00	1.00
62=	Nick Bayer		Duke BF	78	74	78	79	76	77	462	77.00	1.63
62=	Rasmee Ky		Harvard KY	78	80	75	77	75	77	462	77.00	1.73
67=	Semane Reddy-Mbewu	Novice	Harvard KY	76	80	76	76	76	77	461	76.83	1.46
67=	Rohan Jasani		Princeton AJ	76	77	78	77	77	76	461	76.83	0.69
67=	Shaira Shafiquzzaman		UWODS GS	81	75	78	75	76	76	461	76.83	2.11
67=	Brandon Gusain		UWODS GS	80	75	79	74	77	76	461	76.83	2.11
67=	Manon Fuchs		Duke BF	79	75	78	77	76	76	461	76.83	1.34
72=	Adam Banihani		Hart House BS	80	77	74	75	80	74	460	76.67	2.56
72=	Tanvir Shahriar	ESL	Hart House BS	78	77	75	75	80	75	460	76.67	1.89
74=	Ishaan Goel	ESL, Novice	UChicago CG	78	75	75	77	79	75	459	76.50	1.61
74=	Joey Wang	Novice	UCSD GW	77	79	77	76	77	73	459	76.50	1.80
74=	Eamon Roach	Novice	Hart House PR	80	76	77	71	79	76	459	76.50	2.87
