Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
93	Natalia Beboshvili	ESL	Queen card	76	74	78	74	73	375	75.00	1.79
94=	Kokovina Ada	ESL	Nothing to say	76	75	73	79	71	374	74.80	2.71
94=	Mariia Prylypko	ESL	Barbies with existencial crisis	76	75	74	76	73	374	74.80	1.17
94=	Thuy Huynh	ESL	Stockholm School Of Economics A	74	75	73	75	77	374	74.80	1.33
97	Akniyet	ESL	MNU	73	75	76	74	75	373	74.60	1.02
98=	Nurtas Kuzdeubayev	ESL	White eagle	73	75	74	73	77	372	74.40	1.50
98=	Yelyzaveta Shevchenko	ESL	Barbies with existencial crisis	76	74	74	75	73	372	74.40	1.02
100=	Efimova Elizaveta	ESL	Present Simple	76	72	74	75	74	371	74.20	1.33
100=	Anuarbekov Sagynysh	ESL	MNU	73	75	74	73	76	371	74.20	1.17
100=	Meiirzhan Yerulan	ESL, Novice	struggling in offlane	76	74	73	72	76	371	74.20	1.60
100=	Pavel Kalinnikov	ESL	TESB A	74	75	74	74	74	371	74.20	0.40
104	Patryk Biernat	ESL	just preppin’ here	75	74	74	74	73	370	74.00	0.63
105=	Nadia Mayer	ESL, Novice	just preppin’ here	75	74	74	74	72	369	73.80	0.98
105=	Felicia	ESL, Novice	Stockholm School Of Economics A	74	72	72	74	77	369	73.80	1.83
105=	Roman Ignatenko	ESL	TESB A	74	74	75	73	73	369	73.80	0.75
108	Arni Sredniy	ESL	White eagle	73	74	73	72	76	368	73.60	1.36
109	Dalida Kalandarova	ESL	struggling in offlane	74	73	73	72	75	367	73.40	1.02
110	Shyngyz	ESL	Nothing to say	74	75	70	77	70	366	73.20	2.79
111	Anel Bektergazyeva	ESL, Novice	girls in red	73	70	66	71	71	351	70.20	2.32
112	merey	ESL, Novice	girls in red	74	70	63	71	71	349	69.80	3.66
113	Ziyad Anwer		TCD Hist Rehan and Ziyad	81	79	78	—	76	314	78.50	1.80
114=	Nadav Barak	ESL	Technion N&amp;N	79	80	76	78	—	313	78.25	1.48
114=	Madam kiri	ESL	Technion N&amp;N	78	80	76	79	—	313	78.25	1.48
116	Jonathan Chan	ESL	Waiting for our PM (literally)	80	76	73	75	—	304	76.00	2.55
117	Arthur Chan	Novice	LSE D	78	76	74	73	—	301	75.25	1.92
118	Narelle Paul		Tea	77	75	71	—	76	299	74.75	2.28
119	Daniyar		building buildings	79	76	79	—	—	234	78.00	1.41
120	Molly Carroll		TCD Hist Tom &amp; Molly	76	76	—	—	78	230	76.67	0.94
121=	Nauryzbay		building buildings	78	73	78	—	—	229	76.33	2.36
121=	Frang		Waiting for our PM (literally)	81	74	—	74	—	229	76.33	3.30
123	Charlie	Novice	LSE D	78	—	74	76	—	228	76.00	1.63
124	Akshatha Sabaji	ESL	Clout chasers	77	75	74	—	—	226	75.33	1.25
