Rk	name	category	team	institution	R1	R2	R3	R4	R5	Total	Avg	Stdev
52=	Ann Sarasa		Kannis Film Festival	GNLU	77	79	75	76	77	384	76.80	1.33
52=	Himanshi Jain	Novice	Good Cop Bad Cop	CUB	77	77	80	75	75	384	76.80	1.83
52=	Jiya Malla		Break(down)	IPCW	76	77	76	78	77	384	76.80	0.75
61=	HOSAMATH SHARAN		Ninnn…	RCL	77	76	78	75	77	383	76.60	1.02
61=	Francis Vendiola		UPLB Teambulan	UPLB	77	76	76	77	77	383	76.60	0.49
63=	Shravan Shenoy		RVCE A	RVCE	77	78	76	75	76	382	76.40	1.02
63=	Faruque ratul		Getting rekt	—	76	77	77	77	75	382	76.40	0.80
63=	Jyotsna Sood		Machas	NLIUB	72	78	78	77	77	382	76.40	2.24
63=	Ishan Saikia		Kya Rakhe Naam	SXCK	78	76	77	75	76	382	76.40	1.02
63=	Kashvi Khaitan	Novice	Kya Rakhe Naam	SXCK	78	77	76	76	75	382	76.40	1.02
63=	Harsh Singh		Dumb and Dumber	BITSG	75	76	78	75	78	382	76.40	1.36
63=	Manan Uppadhyay		Dumb and Dumber	BITSG	74	77	77	75	79	382	76.40	1.74
63=	Apeksha GM		PATIENT ZERO	RCL	74	78	77	76	77	382	76.40	1.36
63=	Maitreyi Arwari		GLC-SXC Cross	—	77	78	77	72	78	382	76.40	2.24
63=	Hamza Jawed Khan	Novice	Ying and Yang	NUL	77	74	77	77	77	382	76.40	1.20
63=	Aditi Bhojnagarwala	Novice	Ying and Yang	NUL	76	76	76	76	78	382	76.40	0.80
63=	Anirudh H.		Hope-less	CUB	75	77	76	78	76	382	76.40	1.02
63=	Sunidhi S. Hegde		Hope-less	CUB	75	78	75	77	77	382	76.40	1.20
63=	Taera Singh		Drop ur letterboxd	SLSP	77	75	77	77	76	382	76.40	0.80
63=	Suhas P	Novice	RVCE C	RVCE	76	74	79	77	76	382	76.40	1.62
63=	Siddarth Amarnath	Novice	Good Cop Bad Cop	CUB	75	78	79	75	75	382	76.40	1.74
63=	Alex Gao		MUST delay know more	MUST	79	75	75	78	75	382	76.40	1.74
63=	Ray Yang		MUST delay know more	MUST	79	76	74	78	75	382	76.40	1.85
81=	Lavanya Shankar	Novice	Grand Theft Auto	GNLU	78	75	76	77	75	381	76.20	1.17
81=	Srinjoy Sen	Novice	The Knights	JGU	78	74	75	77	77	381	76.20	1.47
81=	Saloni Tapaswi		TRUE	SLSP	75	75	78	77	76	381	76.20	1.17
84=	Jyothika Raju		RVCE A	RVCE	76	77	76	76	75	380	76.00	0.63
84=	Adira Chaturvedi	Novice	Kheech Lenge	NLIUB	78	76	76	75	75	380	76.00	1.10
